gene_id,Con1_Liver,Con2_Liver,Con3_Liver,Con4_Liver,Con5_Liver,Con6_Liver,T1_Liver,T2_Liver,T3_Liver,T4_Liver,T5_Liver,T6_Liver
306722,613,411,860.56,433,296.73,329,369,329.92,359.19,586,396.94,322
306734,613,678,535,755,594,578.91,550,481.99,442.99,604.99,360.87,550
306748,38,29,42,38,21,14,227,229.99,11,92,13,235.81
306750,49.16,50.84,100.26,28.89,31.1,34,10.93,20.16,17.17,34.92,24.01,17.08
306759,7,42.96,19,29.99,11,16,1,0,2,8,1.96,1
306760,44,31,23,23,14,15,47,48.79,29,136.3,29,49
306761,10462.38,11157.86,13796.95,12038.13,10606.44,10851.92,5939.82,5850.14,7588.57,7701.35,6263.2,5867.83
306764,1312.9,1295.99,1359.1,1267,1168,1231.92,1200.98,1224.84,946,1381,1044.97,1191
306765,87,167,83,160,93,110,143.11,129,75,110,94,137
306766,507.64,565.01,519.41,506.15,646.93,638.07,348.71,363.2,268.89,531.13,321.42,306.78
306767,12,15,22,20,8.75,11,23,26.09,8,36,16.71,18
306768,252,336.67,308,327,276.95,335.04,658,644,425.97,373.3,592,680
306771,0,1,2,4,0,0,2.77,2,3,2,0,0
306782,16,10,7,14,7,13,8,3,1,12,7,1
306790,57,37.04,38,34.99,29,38,97,86.8,29,227.1,50,94
306792,93,109,80,92.92,67,44,129.34,144,78.99,74,298,147.87
306804,511.52,795.33,715,759.87,743.42,795,1148.58,1170.83,1217.28,639.82,1230,1284
306805,26.52,28.14,22,15,24,13,4,5.34,8,29,15,2
306808,136.99,140,156,155,147,200,272,263,220,135,419,307
306809,384,555.99,554,534.99,494,486,520,513.89,325,675,374,493
306810,5,2,4,1,2,3,10,11,5,32,6,6
306811,9,3,5,5,5,5,2,5,7,4.02,3,2
306814,540.87,502,487,530,435.73,446.94,778,762,833.99,598.98,694,823.99
306816,28,33,30,28,26,34,37,23.97,17,25,41,24
306817,951.47,1075.27,1241,1032.3,1027.75,919.97,694,675,578,954.8,783.02,687
306819,449,435.97,476,365.98,453.01,441.12,272.11,230.33,293,476.82,250.92,279.99
306825,78,97,52,69,64,57,30,40,35,133,57.92,52
306840,328.01,492.75,635.91,494.83,686,690.39,136,157,212,267,186,141.99
306842,84.96,171.48,198,183,247,259.99,37,40,51,94,29,39
306844,5,4,4,2,2,1,0,1,1,4,4,1
306860,158.69,176.2,155.76,133.52,520.75,515.21,417.48,446.36,1269.86,375.18,1331.57,369.93
306862,0,0,1,0,0,0,0,0,0,0,0,0
306866,499.38,380.35,520,363.62,418.99,399.99,267.99,258,272.89,485.94,267,289
306868,148,224,180,191,175,210,117,93,71,136.98,115,76
306871,1371.46,1427.97,1257.87,1499,1424.83,1518.93,1794.77,2084,1129,1453.97,2122.99,2153.97
306872,25,31,20,26,17,19,34,17,7,29,9,30
306873,1029.99,885,774.86,894,770.03,749.58,438.96,488,443,1021.51,364.99,545.94
306879,221,261,269,210,304.23,280,148.07,118,153,167.9,209.72,156
306883,0,0,0,0,1,1,0,0,0,0,0,0
306886,499.97,422.62,433.54,423.5,377.03,439.93,946.78,937.31,1140.45,689.17,1291.06,901.53
306889,2.31,3.02,4,1,3,1.93,2,0.92,2.77,1,7.81,0.99
306926,1.5,0,0,0,3.5,2.91,3.96,0,0,4.22,3.66,1.82
306934,58.05,52.25,43.2,50.45,18,25.49,239,219,83,340.64,259.99,184
306941,55,50,40,36,38,41.97,13,12,21,41,15.99,12
306942,0,0,1,0,0,0,0,0,0,0,2,0
306945,1859.63,1270.9,2037.24,1203.63,1091.12,1190.77,1873.45,1626.9,1957.92,1509.32,561.85,1811.3
306950,2212.63,2401.94,2901.26,2450.06,1719.59,1523.98,527.79,465.88,1020.52,2223.98,649.96,399
306956,3,1,3,2,0,1,1,0,0,2,1,0
306957,57.43,45.79,68.62,46.56,39.25,38.08,34.06,33.4,21.07,47.29,33.73,34.46
306960,127,164,186,173,157,170,220,208,134,138,163,201
306962,0,0,0,0,0,0,0,0,2.95,1,1.4,0
306966,32.9,33.74,41.9,36.01,20.06,20.01,42,29.28,20,49.93,19.89,26.98
306969,0,0,0,0,0,1.62,1.01,1.09,0,0,0,0
306970,1.75,1.08,6.39,0,0,0,12.05,8.39,8.94,1.4,2.34,6.57
306974,85,89,105.88,113.84,58,65.11,158.93,131.01,56.81,122,82,147
306977,450.87,566.83,518.33,545.99,382.5,396.25,504.39,474.76,359.92,390.94,380.91,531.97
306991,646,689.99,658.97,651.51,594.7,668.48,406,386,473,532,358.91,393.53
306994,499,565,608,577.19,622.94,562,1221,1214,911,538,1249.13,1220.99
306998,621.04,699.02,700.54,724.82,733.56,672.66,901.58,795.8,625.23,679.93,626.08,904.6
307008,362.94,447,486.99,450.74,508.01,493,415,399,302,354,270,434.98
307016,728,788,731,720,741.02,688,493,428.97,311,756.09,313.79,483
307024,17,22,20,12.27,20.99,16.99,26,21,12,23,18,18
307029,696.28,771.85,775.69,779.5,734.18,788.49,1031.61,962.71,1070.73,688.19,1027.42,1017.64
307035,6,10,8,4,12,18,2,4,10,3,7.73,2
307039,1641.1,1813.84,2070.38,1667,1932.99,1748.98,2004.98,1935.01,1432.94,1654.94,2154.46,2089.92
307049,0,0.93,1.55,0,0,2.56,2.58,0,1.44,2.86,1.7,0
307050,262.01,335,381.99,280,350.05,357,447.11,448.04,316,317,469,444
307056,6,0,0.09,8,13,10,5,7,5,23.22,1,8
307067,326.99,298,319,317,278,303,266,259,220,219.99,330,290.88
307070,1600.58,1718.96,1785.92,1727.97,1822.96,1870.98,1317.4,1201.8,1377.37,1276.26,1391.98,1323.93
307075,319.93,297.03,263.07,283.95,254.08,231.34,276.33,254.78,279.07,227.04,263.97,303.02
307081,503.97,691.06,637,741,824.51,829.98,475,524,445.96,451.55,723.85,532
307091,1208.99,1419,1582.45,1376.99,1258,1257,301.85,265,665.95,479,259,325
307092,1466.09,1008.69,934.69,1103.71,276.56,293.65,14.56,19.61,65.85,284.05,2.4,14.21
307096,185.09,118.67,175.49,120.82,54.56,78.61,75.69,62.46,109.18,104.22,43.15,59.7
307098,2604.14,2054.12,2597.91,2055.02,2005.8,2080.97,4515.37,4469.53,8859.88,4223.27,8285.76,4479.02
307100,2,0,5.8,1,4,1,1,2,2,3,6,3
307102,19,7.99,17,15.99,14,21,15,22,6.99,17,23,18
307106,67,100.89,141,76,100.99,102.96,149.96,106,138,133.95,121.12,116.98
307124,195,231.42,201,210,212,198.99,49,44,143,82,134.99,35
307126,151,253,160.09,254.98,156,154,112,109,60,62,184,145
307128,14,17,9,17,11,14,17,11,26,22,30,20
307133,146.99,217,188,214,181,193,601.91,601.94,908,300,897.14,655.99
307148,34,36,34.82,36,39,58,13,10,1,22,13,14
307151,576,572.48,682.98,520.99,588.04,557,585,641,549.81,534.67,653.95,636
307169,2,7,5,2,12.01,6.86,0,1,2,6,3,0
307170,1448.48,2013.36,1874.9,1978.42,1940.39,1977.53,712.34,678.57,842.36,1229.13,551.45,712.76
307171,77,72,75,74.96,56,52.99,97,81,57,268,75,76
307178,475,621.46,508.99,539,642,693.99,575.91,497.92,499,525.99,540.53,456
307180,863.13,848.99,840.99,832,801.35,753.99,539,518,613.99,711.47,630.97,613
307189,1,1,11,1,3,1,1,2,1,1,6,8
307199,42.29,19.74,24.87,21.95,23,19.09,6.96,13,12,45,25,19
307200,260.39,251.01,294.05,228.47,241.68,240.14,320.05,322.21,171.95,222.51,304.28,301.04
307203,0,0,0,0,0,0,0,0,0,0,0,1.23
307210,138,156,219,151,230,232,153,160,146.95,125,205,152
307212,76,87,79.77,54,71,81,17.99,20,52,103,83,15
307213,107,90,151,93,123,131,192,190,118,192,180,168
307217,516.01,650.42,556.94,680.93,720.73,671.85,121.99,121.09,199,500.72,286,137
307234,0,3,0,0,1,0,0,0,1,1,0,0
307235,413.99,388.99,449,386,432.99,489.97,104,125,143,168.82,139,103.07
307236,141.98,165,171,162,130,126,196,187,160,163,170,234.97
307237,9.97,12,6,9.89,7,10.94,7.91,5.94,2,7.95,2,4.93
307248,135.82,198,189,186,165.95,175.93,153,142,148,187,143,146
307249,329.9,433.9,401.64,445.9,432.59,487.86,360.53,395.81,330.79,308.19,419.73,386.71
307251,0,1,0,2,0,0,0,0,0,0,0,0
307253,30,13,11,7,4,0,3,3,4,13,2,2
307270,104.84,115.45,97.23,113.47,85.31,67.1,159.76,112.15,158.16,232.63,195.39,136.55
307271,407,410,359,370.95,285,304,723,786.99,434,393,551,731.61
307288,275,294.65,358,265.99,318,324.94,386,359,1209.99,312,1343.95,361
307296,47,106,102,95.35,102.06,107,22,17,103.01,131,142.65,26
307302,239,204,248.12,241,238.1,248,322.98,269,220.99,363,272.7,274
307305,18,13,21,11,12,15,2,9,8,7,8,7
307309,4,4,2,6,1,1,0,0,1,4,5,4
307343,1073.79,1272.66,1106.56,1182.22,1091.92,1036.04,924.37,905.28,694.82,914.66,854.01,833.86
307348,60.23,53.32,46.19,50.83,26.94,32.69,89.22,77.27,46.85,92.73,92.31,62.49
307350,849,880,1019.98,879.98,1248.74,1423,858,887,830,716.96,1171,943.18
307351,42.34,62.2,80.87,34.03,50.7,49.95,1575.27,1786.09,838.19,351.42,1261.07,1849.43
307362,175,184,198.09,188,171.99,160.99,88,82,117,199,155,75.02
307366,266.26,241.52,218.18,231.31,202.7,223.81,222.79,177.79,172.85,298.01,255.92,206.05
307376,527.9,739.98,685.1,681,672.94,580.26,461.04,396.95,749.89,725.63,478.96,442
307380,29,28,36,46,37.99,15,6,10,10,34,17,9.82
307382,529.21,583.01,657.99,640,696.96,623,650,633,466,642,609.03,728.95
307390,449.99,464,516.98,398,467,420,547.98,480,325.99,461,380,496
307393,1,10,17,10,8,7,1,1,0,14,2,2
307395,458.99,518.99,110.97,450,230.95,215,686,679,258.96,455,497,613
307396,5,4,5,10,8,12,9,11,5,17,10,15
